#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-13 13:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-13 13:00:02 UTC


綜藝,#genre#
[BD]潮州综合高清,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-12.m3u8
[BD]潮州综合高清,https://t.freetv.fun/live/chao-zhou-zong-he-gao-qing-13.m3u8
[SD]甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi-16.m3u8
[BD]重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-13.m3u8
[BD]重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-15.m3u8
[SD]重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-16.m3u8
[BD]重庆卫视,https://t.freetv.fun/live/zhong-qing-wei-shi-20.m3u8
[SD]长春综合,https://t.freetv.fun/live/chang-chun-zong-he-2.m3u8
兒童,#genre#
[HD]cctv-14hd,https://t.freetv.fun/live/cctv-14hd.m3u8
[BD]cctv14-少儿,https://t.freetv.fun/live/cctv14-shao-er.m3u8
[SD]cctv14-少儿,https://t.freetv.fun/live/cctv14-shao-er-1.m3u8
[BD]cctv14hd,https://t.freetv.fun/live/cctv14hd.m3u8
[SD]哈哈炫动,https://t.freetv.fun/live/ha-ha-xuan-dong-5.m3u8
[HD]哈哈炫动,https://t.freetv.fun/live/ha-ha-xuan-dong-6.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-1.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-3.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-4.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-8.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-10.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-11.m3u8
[BD]广东少儿高清,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-13.m3u8
知識,#genre#
[BD]documentary plus,https://t.freetv.fun/live/documentary-plus-2.m3u8
[SD]cctv-9,https://t.freetv.fun/live/cctv-9.m3u8
[HD]cctv-9hd,https://t.freetv.fun/live/cctv-9hd.m3u8
[SD]cctv9-纪录,https://t.freetv.fun/live/cctv9-ji-lu-1.m3u8
[BD]cctv-9,https://t.freetv.fun/live/cctv-9-1.m3u8
[BD]documentary plus,https://t.freetv.fun/live/documentary-plus.m3u8
電影,#genre#
[BD]cctv-11戏曲,https://t.freetv.fun/live/cctv-11xi-qu.m3u8
[BD]cctv-11戏曲,https://t.freetv.fun/live/cctv-11xi-qu-2.m3u8
[SD]cctv11-戏曲,https://t.freetv.fun/live/cctv11-xi-qu-1.m3u8
[HD]cctv-11hd,https://t.freetv.fun/live/cctv-11hd.m3u8
[BD]cctv11-戏曲,https://t.freetv.fun/live/cctv11-xi-qu-3.m3u8
[BD]cctv-6,https://t.freetv.fun/live/cctv-6-1.m3u8
[BD]cctv6-电影,https://t.freetv.fun/live/cctv6-dian-ying.m3u8
[BD]cctv6-电影,https://t.freetv.fun/live/cctv6-dian-ying-1.m3u8
[HD]cctv-6hd,https://t.freetv.fun/live/cctv-6hd.m3u8
[BD]cctv6-电影,https://t.freetv.fun/live/cctv6-dian-ying-2.m3u8
[BD]cctv8-电视剧,https://t.freetv.fun/live/cctv8-dian-shi-ju-3.m3u8
[HD]cctv-第一剧场,https://t.freetv.fun/live/cctv-di-yi-ju-chang.m3u8
[HD]chc影迷电影,https://t.freetv.fun/live/chcying-mi-dian-ying-7.m3u8
[BD]chc电影,https://t.freetv.fun/live/chcdian-ying-1.m3u8
[BD]上虞文化影视,https://t.freetv.fun/live/shang-yu-wen-hua-ying-shi.m3u8
